SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Saurashtra & Kutch,1936,0,3.2,0.4,0,0.2,114.4,87.8,17.3,114.6,0,32.4,0.8,371.1,3.2,0.6,334.1,33.2
Saurashtra & Kutch,1937,0,2.4,0,0,0,117.2,271.4,6,112.2,8.3,0,16.1,533.6,2.4,0,506.8,24.4
Saurashtra & Kutch,1938,0,0,0,0,10,141.4,114.3,59.2,5.3,15.4,0,0.3,346,0,10,320.2,15.7
Saurashtra & Kutch,1939,0,8.6,2.3,0,0,9,62.2,79.5,11.8,4.1,1.9,0,179.4,8.6,2.3,162.5,6
Saurashtra & Kutch,1940,7.2,6.4,6.5,0.1,1.7,111.6,87.6,85.6,23.2,2.2,24.5,0,356.5,13.6,8.3,307.9,26.7
Saurashtra & Kutch,1941,0.5,3.4,0,0.1,0.8,14.4,347.2,13.4,17.1,2.9,0,2,401.8,3.8,0.9,392.2,4.9
Saurashtra & Kutch,1942,1,21,0,0,6,13.2,111.3,146.7,42.9,0,0,0.1,342.2,22,6,314.1,0.1
Saurashtra & Kutch,1943,0.2,0,0,1.8,8.8,62.1,352.7,13.4,71.7,15.8,0.1,0,526.6,0.2,10.6,499.9,15.9
Saurashtra & Kutch,1944,0.9,0,2.1,0,4,70,429.5,196.4,13.1,0.3,0,1.3,717.6,0.9,6.1,708.9,1.6
Saurashtra & Kutch,1945,10,0,0,0.7,0.4,120.9,328.3,102.9,69.1,0.8,0,0,633.1,10,1.1,621.2,0.8
Saurashtra & Kutch,1946,0,0.4,0,0.9,3.2,137.1,134.3,156.5,30.3,1.8,8.2,0.6,473.4,0.4,4.1,458.3,10.6
Saurashtra & Kutch,1947,0,0,0,64.4,0,1.2,79.1,260.4,151.6,2.1,0,0,558.8,0,64.4,492.2,2.1
Saurashtra & Kutch,1948,8.2,0,0,0,0.4,13.4,19.4,74.7,72.6,34,23.5,1.4,247.7,8.2,0.4,180.1,59
